motif_id,family
MA0843.2,Basic leucine zipper factors (bZIP)
MA0759.3,Tryptophan cluster factors
MA0076.3,Tryptophan cluster factors
MA0612.3,Homeo domain factors
MA0886.2,Homeo domain factors
MA0027.3,Homeo domain factors
MA0642.3,Homeo domain factors
MA0760.2,Tryptophan cluster factors
MA0820.2,Basic helix-loop-helix factors (bHLH)
MA0480.3,Fork head/winged helix factors
MA0058.4,Basic helix-loop-helix factors (bHLH)
MA0048.3,Basic helix-loop-helix factors (bHLH)
MA0474.4,Tryptophan cluster factors
MA0112.4,Nuclear receptors with C4 zinc fingers
MA0592.4,Nuclear receptors with C4 zinc fingers
MA0141.4,Nuclear receptors with C4 zinc fingers
MA0643.2,Nuclear receptors with C4 zinc fingers
MA0644.3,Homeo domain factors
MA0098.4,Tryptophan cluster factors
MA1484.2,Tryptophan cluster factors
MA0761.3,Tryptophan cluster factors
MA0762.2,Tryptophan cluster factors
MA0763.2,Tryptophan cluster factors
MA0764.4,Tryptophan cluster factors
MA0765.4,Tryptophan cluster factors
MA0900.3,Homeo domain factors
MA0645.2,Tryptophan cluster factors
MA0887.2,Homeo domain factors
MA0888.2,Homeo domain factors
MA0156.4,Tryptophan cluster factors
MA0475.3,Tryptophan cluster factors
MA0476.2,Basic leucine zipper factors (bZIP)
MA1951.2,Basic leucine zipper factors (bZIP)
MA1140.3,Basic leucine zipper factors (bZIP)
MA0490.3,Basic leucine zipper factors (bZIP)
MA0492.2,Basic leucine zipper factors (bZIP)
MA0491.3,Basic leucine zipper factors (bZIP)
MA0477.3,Basic leucine zipper factors (bZIP)
MA0478.2,Basic leucine zipper factors (bZIP)
MA0148.5,Fork head/winged helix factors
MA0047.4,Fork head/winged helix factors
MA1683.2,Fork head/winged helix factors
MA0846.2,Fork head/winged helix factors
MA0031.2,Fork head/winged helix factors
MA0847.4,Fork head/winged helix factors
MA0041.3,Fork head/winged helix factors
MA1487.3,Fork head/winged helix factors
MA1606.2,Fork head/winged helix factors
MA0030.2,Fork head/winged helix factors
MA0479.2,Fork head/winged helix factors
MA0682.3,Homeo domain factors
MA0851.2,Fork head/winged helix factors
MA0852.3,Fork head/winged helix factors
MA1103.3,Fork head/winged helix factors
MA1607.2,Fork head/winged helix factors
MA0157.4,Fork head/winged helix factors
MA0481.4,Fork head/winged helix factors
MA0593.2,Fork head/winged helix factors
MA0040.2,Fork head/winged helix factors
MA0062.4,Tryptophan cluster factors
MA0035.5,Other C4 zinc finger-type factors
MA0036.4,Other C4 zinc finger-type factors
MA0037.5,Other C4 zinc finger-type factors
MA0482.3,Other C4 zinc finger-type factors
MA0766.3,Other C4 zinc finger-type factors
MA1104.3,Other C4 zinc finger-type factors
MA0889.2,Homeo domain factors
MA0890.2,Homeo domain factors
MA0646.2,GCM domain factors
MA0143.5,High-mobility group (HMG) domain factors
MA0767.2,GCM domain factors
MA0038.3,C2H2 zinc finger factors
MA0483.2,C2H2 zinc finger factors
MA1990.2,C2H2 zinc finger factors
MA0734.4,C2H2 zinc finger factors
MA1491.3,C2H2 zinc finger factors
MA0735.2,C2H2 zinc finger factors
MA0648.2,Homeo domain factors
MA0891.2,Homeo domain factors
MA0892.2,Homeo domain factors
MA0893.3,Homeo domain factors
MA0522.4,Basic helix-loop-helix factors (bHLH)
MA1638.2,Basic helix-loop-helix factors (bHLH)
MA1099.3,Basic helix-loop-helix factors (bHLH)
MA0616.3,Basic helix-loop-helix factors (bHLH)
MA0894.2,Homeo domain factors
MA0649.2,Basic helix-loop-helix factors (bHLH)
MA0739.2,C2H2 zinc finger factors
MA0738.2,C2H2 zinc finger factors
MA1106.2,Basic helix-loop-helix factors (bHLH)
MA0131.3,C2H2 zinc finger factors
MA0043.4,Basic leucine zipper factors (bZIP)
MA0895.2,Homeo domain factors
MA0896.2,Homeo domain factors
MA0897.2,Homeo domain factors
MA0898.2,Homeo domain factors
MA1991.2,Homeo domain factors
MA0046.3,Homeo domain factors
MA1494.2,Nuclear receptors with C4 zinc fingers
MA0114.5,Nuclear receptors with C4 zinc fingers
MA0484.3,Nuclear receptors with C4 zinc fingers
MA0899.2,Homeo domain factors
MA0911.2,Homeo domain factors
MA1496.2,Homeo domain factors
MA1497.2,Homeo domain factors
MA1498.3,Homeo domain factors
MA0594.3,Homeo domain factors
MA0902.3,Homeo domain factors
MA1566.3,T-Box factors
MA0903.2,Homeo domain factors
MA1499.2,Homeo domain factors
MA0904.3,Homeo domain factors
MA1500.2,Homeo domain factors
MA1501.2,Homeo domain factors
MA1502.2,Homeo domain factors
MA1503.2,Homeo domain factors
MA0905.2,Homeo domain factors
MA0651.3,Homeo domain factors
MA0906.2,Homeo domain factors
MA0907.2,Homeo domain factors
MA1504.2,Homeo domain factors
MA1505.2,Homeo domain factors
MA0485.3,Homeo domain factors
MA1506.2,Homeo domain factors
MA0908.2,Homeo domain factors
MA0873.2,Homeo domain factors
MA0909.4,Homeo domain factors
MA1507.2,Homeo domain factors
MA0910.3,Homeo domain factors
MA0913.3,Homeo domain factors
MA1508.2,C2H2 zinc finger factors
MA1992.2,C2H2 zinc finger factors
MA0050.4,Tryptophan cluster factors
MA0051.2,Tryptophan cluster factors
MA1418.2,Tryptophan cluster factors
MA1419.2,Tryptophan cluster factors
MA0772.2,Tryptophan cluster factors
MA0652.2,Tryptophan cluster factors
MA1608.2,Homeo domain factors
MA0914.2,Homeo domain factors
MA0654.2,Homeo domain factors
MA0656.2,Basic leucine zipper factors (bZIP)
MA0493.3,C2H2 zinc finger factors
MA1512.2,C2H2 zinc finger factors
MA0657.2,C2H2 zinc finger factors
MA1513.2,C2H2 zinc finger factors
MA1514.2,C2H2 zinc finger factors
MA1515.2,C2H2 zinc finger factors
MA1516.2,C2H2 zinc finger factors
MA0039.5,C2H2 zinc finger factors
MA1517.2,C2H2 zinc finger factors
MA1959.2,C2H2 zinc finger factors
MA1107.3,C2H2 zinc finger factors
MA0618.2,Homeo domain factors
MA0699.2,Homeo domain factors
MA0768.3,High-mobility group (HMG) domain factors
MA1518.3,Homeo domain factors
MA0700.3,Homeo domain factors
MA0135.2,Homeo domain factors
MA0704.2,Homeo domain factors
MA1519.2,Homeo domain factors
MA0658.2,Homeo domain factors
MA0705.2,Homeo domain factors
MA0701.3,Homeo domain factors
MA0702.3,Homeo domain factors
MA0703.3,Homeo domain factors
MA1520.2,Basic leucine zipper factors (bZIP)
MA0841.2,Basic leucine zipper factors (bZIP)
MA1521.2,Basic leucine zipper factors (bZIP)
MA0117.3,Basic leucine zipper factors (bZIP)
MA0495.4,Basic leucine zipper factors (bZIP)
MA0659.4,Basic leucine zipper factors (bZIP)
MA0147.4,Basic helix-loop-helix factors (bHLH)
MA1522.2,C2H2 zinc finger factors
MA0029.2,C2H2 zinc finger factors
MA0052.5,MADS box factors
MA0497.2,MADS box factors
MA0498.3,Homeo domain factors
MA1639.2,Homeo domain factors
MA1640.2,Homeo domain factors
MA0775.2,Homeo domain factors
MA0661.2,Homeo domain factors
MA0706.2,Homeo domain factors
MA0620.4,Basic helix-loop-helix factors (bHLH)
MA0621.2,Homeo domain factors
MA0662.2,Homeo domain factors
MA0622.2,Basic helix-loop-helix factors (bHLH)
MA0664.2,Basic helix-loop-helix factors (bHLH)
MA0825.2,Basic helix-loop-helix factors (bHLH)
MA0707.3,Homeo domain factors
MA1523.2,Tryptophan cluster factors
MA1524.3,Basic helix-loop-helix factors (bHLH)
MA0666.3,Homeo domain factors
MA0708.3,Homeo domain factors
MA0709.2,Homeo domain factors
MA1108.3,Basic helix-loop-helix factors (bHLH)
MA0100.4,Tryptophan cluster factors
MA0104.5,Basic helix-loop-helix factors (bHLH)
MA1641.2,Basic helix-loop-helix factors (bHLH)
MA0499.3,Basic helix-loop-helix factors (bHLH)
MA0500.3,Basic helix-loop-helix factors (bHLH)
MA0056.3,C2H2 zinc finger factors
MA1109.2,Basic helix-loop-helix factors (bHLH)
MA1993.2,Basic helix-loop-helix factors (bHLH)
MA0668.3,Basic helix-loop-helix factors (bHLH)
MA1642.2,Basic helix-loop-helix factors (bHLH)
MA0606.3,Rel homology region (RHR) factors
MA0624.3,Rel homology region (RHR) factors
MA0152.3,Rel homology region (RHR) factors
MA0625.3,Rel homology region (RHR) factors
MA1525.3,Rel homology region (RHR) factors
MA0150.3,Basic leucine zipper factors (bZIP)
MA0025.3,Basic leucine zipper factors (bZIP)
MA0778.2,Rel homology region (RHR) factors
MA1529.2,Basic helix-loop-helix factors (bHLH)
MA1994.2,Homeo domain factors
MA1645.2,Homeo domain factors
MA0672.2,Homeo domain factors
MA2003.2,Homeo domain factors
MA0063.3,Homeo domain factors
MA0673.2,Homeo domain factors
MA0124.3,Homeo domain factors
MA0122.4,Homeo domain factors
MA0674.2,Homeo domain factors
MA0675.2,Homeo domain factors
MA1530.2,Homeo domain factors
MA0125.2,Homeo domain factors
MA0710.2,Homeo domain factors
MA0626.2,Basic helix-loop-helix factors (bHLH)
MA1995.2,Basic helix-loop-helix factors (bHLH)
MA1531.2,Nuclear receptors with C4 zinc fingers
MA1996.2,Nuclear receptors with C4 zinc fingers
MA1110.3,Nuclear receptors with C4 zinc fingers
MA1533.2,Nuclear receptors with C4 zinc fingers
MA1534.2,Nuclear receptors with C4 zinc fingers
MA1535.2,Nuclear receptors with C4 zinc fingers
MA0504.2,Nuclear receptors with C4 zinc fingers
MA1536.2,Nuclear receptors with C4 zinc fingers
MA0164.2,Nuclear receptors with C4 zinc fingers
MA0017.3,Nuclear receptors with C4 zinc fingers
MA1537.2,Nuclear receptors with C4 zinc fingers
MA1111.2,Nuclear receptors with C4 zinc fingers
MA0677.2,Nuclear receptors with C4 zinc fingers
MA0113.4,Nuclear receptors with C4 zinc fingers
MA0727.2,Nuclear receptors with C4 zinc fingers
MA1112.3,Nuclear receptors with C4 zinc fingers
MA0160.3,Nuclear receptors with C4 zinc fingers
MA1540.3,Nuclear receptors with C4 zinc fingers
MA0505.3,Nuclear receptors with C4 zinc fingers
MA1541.2,Nuclear receptors with C4 zinc fingers
MA0842.3,Basic leucine zipper factors (bZIP)
MA1997.2,Basic helix-loop-helix factors (bHLH)
MA0679.3,Homeo domain factors
MA0757.2,Homeo domain factors
MA1542.2,C2H2 zinc finger factors
MA1646.2,C2H2 zinc finger factors
MA0711.2,Homeo domain factors
MA0712.3,Homeo domain factors
MA1544.2,C2H2 zinc finger factors
MA1545.2,C2H2 zinc finger factors
MA1961.2,C2H2 zinc finger factors
MA0067.3,Paired box factors
MA1546.2,Paired box factors
MA0680.3,Paired box factors
MA0070.2,Homeo domain factors
MA1113.3,Homeo domain factors
MA1114.2,Homeo domain factors
MA0132.3,Homeo domain factors
MA0681.3,Homeo domain factors
MA0714.2,Homeo domain factors
MA0782.3,Homeo domain factors
MA1615.2,C2H2 zinc finger factors
MA1548.2,C2H2 zinc finger factors
MA0784.3,Homeo domain factors
MA0785.2,Homeo domain factors
MA0507.3,Homeo domain factors
MA0627.3,Homeo domain factors
MA0786.2,Homeo domain factors
MA0790.2,Homeo domain factors
MA0683.2,Homeo domain factors
MA0791.2,Homeo domain factors
MA1115.2,Homeo domain factors
MA0628.2,Homeo domain factors
MA1549.2,Homeo domain factors
MA0793.2,Homeo domain factors
MA1550.2,Nuclear receptors with C4 zinc fingers
MA0066.2,Nuclear receptors with C4 zinc fingers
MA0508.4,C2H2 zinc finger factors
MA1998.2,C2H2 zinc finger factors
MA1616.2,C2H2 zinc finger factors
MA1647.3,C2H2 zinc finger factors
MA1999.2,C2H2 zinc finger factors
MA1723.2,C2H2 zinc finger factors
MA0716.2,Homeo domain factors
MA0075.4,Homeo domain factors
MA1619.2,Basic helix-loop-helix factors (bHLH)
MA1620.2,Basic helix-loop-helix factors (bHLH)
MA1552.2,Nuclear receptors with C4 zinc fingers
MA0859.2,Nuclear receptors with C4 zinc fingers
MA1553.2,Nuclear receptors with C4 zinc fingers
MA0718.2,Homeo domain factors
MA0717.2,Homeo domain factors
MA1116.2,Rel homology region (RHR) factors
MA1117.2,Rel homology region (RHR) factors
MA0138.3,C2H2 zinc finger factors
MA0600.3,Fork head/winged helix factors
MA0799.3,Fork head/winged helix factors
MA0510.3,Fork head/winged helix factors
MA1724.2,Fork head/winged helix factors
MA1554.2,Fork head/winged helix factors
MA0629.2,Homeo domain factors
MA0719.2,Homeo domain factors
MA0072.2,Nuclear receptors with C4 zinc fingers
MA1150.2,Nuclear receptors with C4 zinc fingers
MA1151.2,Nuclear receptors with C4 zinc fingers
MA0073.2,C2H2 zinc finger factors
MA1963.2,Homeo domain factors
MA0743.3,C2H2 zinc finger factors
MA0744.3,C2H2 zinc finger factors
MA0630.2,Homeo domain factors
MA0720.2,Homeo domain factors
MA1118.2,Homeo domain factors
MA1119.2,Homeo domain factors
MA0631.2,Homeo domain factors
MA2001.2,Homeo domain factors
MA1558.2,C2H2 zinc finger factors
MA0745.3,C2H2 zinc finger factors
MA1559.2,C2H2 zinc finger factors
MA1560.2,Basic helix-loop-helix factors (bHLH)
MA0442.3,High-mobility group (HMG) domain factors
MA0869.3,High-mobility group (HMG) domain factors
MA1561.2,High-mobility group (HMG) domain factors
MA1120.2,High-mobility group (HMG) domain factors
MA1562.2,High-mobility group (HMG) domain factors
MA1152.2,High-mobility group (HMG) domain factors
MA0078.3,High-mobility group (HMG) domain factors
MA0514.3,High-mobility group (HMG) domain factors
MA0867.3,High-mobility group (HMG) domain factors
MA0087.3,High-mobility group (HMG) domain factors
MA0868.3,High-mobility group (HMG) domain factors
MA0077.2,High-mobility group (HMG) domain factors
MA0746.3,C2H2 zinc finger factors
MA1965.2,C2H2 zinc finger factors
MA0747.2,C2H2 zinc finger factors
MA1564.2,C2H2 zinc finger factors
MA0080.7,Tryptophan cluster factors
MA0081.3,Tryptophan cluster factors
MA0687.2,Tryptophan cluster factors
MA0829.3,Basic helix-loop-helix factors (bHLH)
MA0084.2,High-mobility group (HMG) domain factors
MA0802.2,T-Box factors
MA1565.2,T-Box factors
MA0804.2,T-Box factors
MA0688.2,T-Box factors
MA1567.3,T-Box factors
MA0521.3,Basic helix-loop-helix factors (bHLH)
MA1648.2,Basic helix-loop-helix factors (bHLH)
MA0832.2,Basic helix-loop-helix factors (bHLH)
MA1568.2,Basic helix-loop-helix factors (bHLH)
MA0830.3,Basic helix-loop-helix factors (bHLH)
MA0769.3,High-mobility group (HMG) domain factors
MA0523.2,High-mobility group (HMG) domain factors
MA0632.3,Basic helix-loop-helix factors (bHLH)
MA1122.2,Fork head/winged helix factors
MA0692.2,Basic helix-loop-helix factors (bHLH)
MA0871.3,Basic helix-loop-helix factors (bHLH)
MA1969.2,Nuclear receptors with C4 zinc fingers
MA1574.2,Nuclear receptors with C4 zinc fingers
MA1575.2,Nuclear receptors with C4 zinc fingers
MA1576.2,Nuclear receptors with C4 zinc fingers
MA1577.2,Homeo domain factors
MA1970.2,Other C4 zinc finger-type factors
MA1123.3,Basic helix-loop-helix factors (bHLH)
MA0633.3,Basic helix-loop-helix factors (bHLH)
MA0721.2,Homeo domain factors
MA0093.4,Basic helix-loop-helix factors (bHLH)
MA0526.5,Basic helix-loop-helix factors (bHLH)
MA0722.2,Homeo domain factors
MA0723.3,Homeo domain factors
MA0693.4,Nuclear receptors with C4 zinc fingers
MA1578.2,C2H2 zinc finger factors
MA0725.2,Homeo domain factors
MA0726.2,Homeo domain factors
MA1627.2,C2H2 zinc finger factors
MA0844.2,Basic leucine zipper factors (bZIP)
MA0095.4,C2H2 zinc finger factors
MA0748.3,C2H2 zinc finger factors
MA0749.2,C2H2 zinc finger factors
MA1971.2,C2H2 zinc finger factors
MA1649.2,C2H2 zinc finger factors
MA1650.2,C2H2 zinc finger factors
MA0698.2,C2H2 zinc finger factors
MA1579.2,C2H2 zinc finger factors
MA0527.2,C2H2 zinc finger factors
MA1581.2,C2H2 zinc finger factors
MA0750.3,C2H2 zinc finger factors
MA0694.2,C2H2 zinc finger factors
MA0695.2,C2H2 zinc finger factors
MA0103.4,Homeo domain factors
MA2002.2,C2H2 zinc finger factors
MA1651.2,C2H2 zinc finger factors
MA1583.2,C2H2 zinc finger factors
MA0146.3,C2H2 zinc finger factors
MA1628.2,C2H2 zinc finger factors
MA1629.2,C2H2 zinc finger factors
MA0697.3,C2H2 zinc finger factors
MA0751.2,C2H2 zinc finger factors
MA1584.2,C2H2 zinc finger factors
MA1709.2,C2H2 zinc finger factors
MA1585.2,C2H2 zinc finger factors
MA1973.2,C2H2 zinc finger factors
MA1652.2,C2H2 zinc finger factors
MA1589.2,C2H2 zinc finger factors
MA1653.2,C2H2 zinc finger factors
MA1654.2,C2H2 zinc finger factors
MA1725.2,C2H2 zinc finger factors
MA1974.2,C2H2 zinc finger factors
MA1975.2,C2H2 zinc finger factors
MA1710.2,C2H2 zinc finger factors
MA0528.3,C2H2 zinc finger factors
MA1592.2,C2H2 zinc finger factors
MA1630.3,C2H2 zinc finger factors
MA1154.2,C2H2 zinc finger factors
MA1593.2,C2H2 zinc finger factors
MA1976.2,C2H2 zinc finger factors
MA1977.2,C2H2 zinc finger factors
MA1726.2,C2H2 zinc finger factors
MA1655.2,C2H2 zinc finger factors
MA1711.2,C2H2 zinc finger factors
MA1978.2,C2H2 zinc finger factors
MA1125.2,C2H2 zinc finger factors
MA0752.2,C2H2 zinc finger factors
MA1979.2,C2H2 zinc finger factors
MA1727.2,C2H2 zinc finger factors
MA1656.2,C2H2 zinc finger factors
MA1712.2,C2H2 zinc finger factors
MA1981.2,C2H2 zinc finger factors
MA1728.2,C2H2 zinc finger factors
MA1982.2,C2H2 zinc finger factors
MA1983.2,C2H2 zinc finger factors
MA1713.2,C2H2 zinc finger factors
MA1657.2,C2H2 zinc finger factors
MA1984.2,C2H2 zinc finger factors
MA1714.2,C2H2 zinc finger factors
MA1729.2,C2H2 zinc finger factors
MA1599.2,C2H2 zinc finger factors
MA1600.2,C2H2 zinc finger factors
MA1986.2,C2H2 zinc finger factors
MA1987.2,C2H2 zinc finger factors
MA1730.2,C2H2 zinc finger factors
MA0753.3,C2H2 zinc finger factors
MA1716.2,C2H2 zinc finger factors
MA1731.2,C2H2 zinc finger factors
MA1717.2,C2H2 zinc finger factors
MA1719.2,C2H2 zinc finger factors
MA1720.2,C2H2 zinc finger factors
MA1721.2,C2H2 zinc finger factors
MA1602.2,C2H2 zinc finger factors
MA1722.2,C2H2 zinc finger factors
MA1407.2,Basic leucine zipper factors (bZIP)
